Battalion,Station Area,year,month,value,Division
Battalion 3E,Station Area E2,2018,10,1,Unknown
Battalion 3E,Station Area E2,2020,3,1,Unknown
Battalion 01,Station Area 01,2000,4,234,Division 02
Battalion 01,Station Area 01,2000,5,331,Division 02
Battalion 01,Station Area 01,2000,6,293,Division 02
Battalion 01,Station Area 01,2000,7,279,Division 02
Battalion 01,Station Area 01,2000,8,319,Division 02
Battalion 01,Station Area 01,2000,9,346,Division 02
Battalion 01,Station Area 01,2000,10,315,Division 02
Battalion 01,Station Area 01,2000,11,312,Division 02
Battalion 01,Station Area 01,2000,12,272,Division 02
Battalion 01,Station Area 01,2001,1,305,Division 02
Battalion 01,Station Area 01,2001,2,268,Division 02
Battalion 01,Station Area 01,2001,3,348,Division 02
Battalion 01,Station Area 01,2001,4,322,Division 02
Battalion 01,Station Area 01,2001,5,290,Division 02
Battalion 01,Station Area 01,2001,6,316,Division 02
Battalion 01,Station Area 01,2001,7,268,Division 02
Battalion 01,Station Area 01,2001,8,254,Division 02
Battalion 01,Station Area 01,2001,9,281,Division 02
Battalion 01,Station Area 01,2001,10,275,Division 02
Battalion 01,Station Area 01,2001,11,354,Division 02
Battalion 01,Station Area 01,2001,12,336,Division 02
Battalion 01,Station Area 01,2002,1,300,Division 02
Battalion 01,Station Area 01,2002,2,292,Division 02
Battalion 01,Station Area 01,2002,3,262,Division 02
Battalion 01,Station Area 01,2002,4,279,Division 02
Battalion 01,Station Area 01,2002,5,319,Division 02
Battalion 01,Station Area 01,2002,6,247,Division 02
Battalion 01,Station Area 01,2002,7,258,Division 02
Battalion 01,Station Area 01,2002,8,269,Division 02
Battalion 01,Station Area 01,2002,9,297,Division 02
Battalion 01,Station Area 01,2002,10,242,Division 02
Battalion 01,Station Area 01,2002,11,320,Division 02
Battalion 01,Station Area 01,2002,12,349,Division 02
Battalion 01,Station Area 01,2003,1,262,Division 02
Battalion 01,Station Area 01,2003,2,231,Division 02
Battalion 01,Station Area 01,2003,3,347,Division 02
Battalion 01,Station Area 01,2003,4,311,Division 02
Battalion 01,Station Area 01,2003,5,317,Division 02
Battalion 01,Station Area 01,2003,6,281,Division 02
Battalion 01,Station Area 01,2003,7,319,Division 02
Battalion 01,Station Area 01,2003,8,311,Division 02
Battalion 01,Station Area 01,2003,9,308,Division 02
Battalion 01,Station Area 01,2003,10,306,Division 02
Battalion 01,Station Area 01,2003,11,300,Division 02
Battalion 01,Station Area 01,2003,12,357,Division 02
Battalion 01,Station Area 01,2004,1,317,Division 02
Battalion 01,Station Area 01,2004,2,266,Division 02
Battalion 01,Station Area 01,2004,3,321,Division 02
Battalion 01,Station Area 01,2004,4,326,Division 02
Battalion 01,Station Area 01,2004,5,302,Division 02
Battalion 01,Station Area 01,2004,6,319,Division 02
Battalion 01,Station Area 01,2004,7,259,Division 02
Battalion 01,Station Area 01,2004,8,151,Division 02
Battalion 01,Station Area 01,2004,11,261,Division 02
Battalion 01,Station Area 01,2004,12,263,Division 02
Battalion 01,Station Area 01,2005,1,271,Division 02
Battalion 01,Station Area 01,2005,2,306,Division 02
Battalion 01,Station Area 01,2005,3,247,Division 02
Battalion 01,Station Area 01,2005,4,225,Division 02
Battalion 01,Station Area 01,2005,5,340,Division 02
Battalion 01,Station Area 01,2005,6,287,Division 02
Battalion 01,Station Area 01,2005,7,372,Division 02
Battalion 01,Station Area 01,2005,8,271,Division 02
Battalion 01,Station Area 01,2005,9,265,Division 02
Battalion 01,Station Area 01,2005,10,320,Division 02
Battalion 01,Station Area 01,2005,11,256,Division 02
Battalion 01,Station Area 01,2005,12,301,Division 02
Battalion 01,Station Area 01,2006,1,292,Division 02
Battalion 01,Station Area 01,2006,2,294,Division 02
Battalion 01,Station Area 01,2006,3,269,Division 02
Battalion 01,Station Area 01,2006,4,342,Division 02
Battalion 01,Station Area 01,2006,5,278,Division 02
Battalion 01,Station Area 01,2006,6,307,Division 02
Battalion 01,Station Area 01,2006,7,365,Division 02
Battalion 01,Station Area 01,2006,8,312,Division 02
Battalion 01,Station Area 01,2006,9,316,Division 02
Battalion 01,Station Area 01,2006,10,313,Division 02
Battalion 01,Station Area 01,2006,11,359,Division 02
Battalion 01,Station Area 01,2006,12,350,Division 02
Battalion 01,Station Area 01,2007,1,282,Division 02
Battalion 01,Station Area 01,2007,2,252,Division 02
Battalion 01,Station Area 01,2007,3,330,Division 02
Battalion 01,Station Area 01,2007,4,242,Division 02
Battalion 01,Station Area 01,2007,5,297,Division 02
Battalion 01,Station Area 01,2007,6,336,Division 02
Battalion 01,Station Area 01,2007,7,299,Division 02
Battalion 01,Station Area 01,2007,8,274,Division 02
Battalion 01,Station Area 01,2007,9,288,Division 02
Battalion 01,Station Area 01,2007,10,381,Division 02
Battalion 01,Station Area 01,2007,11,324,Division 02
Battalion 01,Station Area 01,2007,12,471,Division 02
Battalion 01,Station Area 01,2008,1,312,Division 02
Battalion 01,Station Area 01,2008,2,360,Division 02
Battalion 01,Station Area 01,2008,3,345,Division 02
Battalion 01,Station Area 01,2008,4,351,Division 02
Battalion 01,Station Area 01,2008,5,403,Division 02
Battalion 01,Station Area 01,2008,6,361,Division 02
Battalion 01,Station Area 01,2008,7,305,Division 02
Battalion 01,Station Area 01,2008,8,405,Division 02
Battalion 01,Station Area 01,2008,9,348,Division 02
Battalion 01,Station Area 01,2008,10,334,Division 02
Battalion 01,Station Area 01,2008,11,362,Division 02
Battalion 01,Station Area 01,2008,12,375,Division 02
Battalion 01,Station Area 01,2009,1,296,Division 02
Battalion 01,Station Area 01,2009,2,271,Division 02
Battalion 01,Station Area 01,2009,3,303,Division 02
Battalion 01,Station Area 01,2009,4,325,Division 02
Battalion 01,Station Area 01,2009,5,324,Division 02
Battalion 01,Station Area 01,2009,6,244,Division 02
Battalion 01,Station Area 01,2009,7,287,Division 02
Battalion 01,Station Area 01,2009,8,281,Division 02
Battalion 01,Station Area 01,2009,9,268,Division 02
Battalion 01,Station Area 01,2009,10,356,Division 02
Battalion 01,Station Area 01,2009,11,362,Division 02
Battalion 01,Station Area 01,2009,12,328,Division 02
Battalion 01,Station Area 01,2010,1,265,Division 02
Battalion 01,Station Area 01,2010,2,291,Division 02
Battalion 01,Station Area 01,2010,3,262,Division 02
Battalion 01,Station Area 01,2010,4,269,Division 02
Battalion 01,Station Area 01,2010,5,269,Division 02
Battalion 01,Station Area 01,2010,6,290,Division 02
Battalion 01,Station Area 01,2010,7,317,Division 02
Battalion 01,Station Area 01,2010,8,332,Division 02
Battalion 01,Station Area 01,2010,9,335,Division 02
Battalion 01,Station Area 01,2010,10,324,Division 02
Battalion 01,Station Area 01,2010,11,307,Division 02
Battalion 01,Station Area 01,2010,12,399,Division 02
Battalion 01,Station Area 01,2011,1,349,Division 02
Battalion 01,Station Area 01,2011,2,266,Division 02
Battalion 01,Station Area 01,2011,3,381,Division 02
Battalion 01,Station Area 01,2011,4,300,Division 02
Battalion 01,Station Area 01,2011,5,288,Division 02
Battalion 01,Station Area 01,2011,6,297,Division 02
Battalion 01,Station Area 01,2011,7,306,Division 02
Battalion 01,Station Area 01,2011,8,326,Division 02
Battalion 01,Station Area 01,2011,9,353,Division 02
Battalion 01,Station Area 01,2011,10,351,Division 02
Battalion 01,Station Area 01,2011,11,347,Division 02
Battalion 01,Station Area 01,2011,12,345,Division 02
Battalion 01,Station Area 01,2012,1,312,Division 02
Battalion 01,Station Area 01,2012,2,293,Division 02
Battalion 01,Station Area 01,2012,3,324,Division 02
Battalion 01,Station Area 01,2012,4,252,Division 02
Battalion 01,Station Area 01,2012,5,304,Division 02
Battalion 01,Station Area 01,2012,6,319,Division 02
Battalion 01,Station Area 01,2012,7,316,Division 02
Battalion 01,Station Area 01,2012,8,369,Division 02
Battalion 01,Station Area 01,2012,9,357,Division 02
Battalion 01,Station Area 01,2012,10,383,Division 02
Battalion 01,Station Area 01,2012,11,325,Division 02
Battalion 01,Station Area 01,2012,12,361,Division 02
Battalion 01,Station Area 01,2013,1,281,Division 02
Battalion 01,Station Area 01,2013,2,274,Division 02
Battalion 01,Station Area 01,2013,3,323,Division 02
Battalion 01,Station Area 01,2013,4,287,Division 02
Battalion 01,Station Area 01,2013,5,306,Division 02
Battalion 01,Station Area 01,2013,6,365,Division 02
Battalion 01,Station Area 01,2013,7,309,Division 02
Battalion 01,Station Area 01,2013,8,424,Division 02
Battalion 01,Station Area 01,2013,9,356,Division 02
Battalion 01,Station Area 01,2013,10,356,Division 02
Battalion 01,Station Area 01,2013,11,307,Division 02
Battalion 01,Station Area 01,2013,12,389,Division 02
Battalion 01,Station Area 01,2014,1,367,Division 02
Battalion 01,Station Area 01,2014,2,287,Division 02
Battalion 01,Station Area 01,2014,3,331,Division 02
Battalion 01,Station Area 01,2014,4,292,Division 02
Battalion 01,Station Area 01,2014,5,334,Division 02
Battalion 01,Station Area 01,2014,6,357,Division 02
Battalion 01,Station Area 01,2014,7,360,Division 02
Battalion 01,Station Area 01,2014,8,464,Division 02
Battalion 01,Station Area 01,2014,9,367,Division 02
Battalion 01,Station Area 01,2014,10,457,Division 02
Battalion 01,Station Area 01,2014,11,406,Division 02
